idx,accuracy,speed,rank,crowding_distance,architecture
43,69.06,35.10350787072424,1,0.14254967461194143,"{""benchmark_genotype"": [3, 0, 4, 2, 0, 3], ""arch_id"": 9863, ""architecture_details"": ""|nor_conv_3x3~0|+|none~0|avg_pool_3x3~1|+|nor_conv_1x1~0|none~1|nor_conv_3x3~2|""}"
44,67.94,42.45990617209934,1,0.14731692673474833,"{""benchmark_genotype"": [3, 1, 1, 1, 1, 2], ""arch_id"": 1424, ""architecture_details"": ""|nor_conv_3x3~0|+|skip_connect~0|skip_connect~1|+|skip_connect~0|skip_connect~1|nor_conv_1x1~2|""}"
45,69.06,35.10350787072424,1,0.24192178594278835,"{""benchmark_genotype"": [3, 0, 4, 2, 0, 3], ""arch_id"": 9863, ""architecture_details"": ""|nor_conv_3x3~0|+|none~0|avg_pool_3x3~1|+|nor_conv_1x1~0|none~1|nor_conv_3x3~2|""}"
46,67.973335,38.36254833201558,1,0.0173282645633612,"{""benchmark_genotype"": [3, 0, 2, 4, 0, 3], ""arch_id"": 1679, ""architecture_details"": ""|nor_conv_3x3~0|+|none~0|nor_conv_1x1~1|+|avg_pool_3x3~0|none~1|nor_conv_3x3~2|""}"
47,68.62,37.63044122068636,1,0.11025920118776827,"{""benchmark_genotype"": [3, 1, 2, 1, 1, 2], ""arch_id"": 12404, ""architecture_details"": ""|nor_conv_3x3~0|+|skip_connect~0|nor_conv_1x1~1|+|skip_connect~0|skip_connect~1|nor_conv_1x1~2|""}"
48,68.8,35.82379778469216,1,0.08273630083350833,"{""benchmark_genotype"": [4, 2, 1, 2, 0, 3], ""arch_id"": 12135, ""architecture_details"": ""|avg_pool_3x3~0|+|nor_conv_1x1~0|skip_connect~1|+|nor_conv_1x1~0|none~1|nor_conv_3x3~2|""}"
49,67.94,42.45990617209934,1,0.035572839298328586,"{""benchmark_genotype"": [3, 1, 1, 1, 1, 2], ""arch_id"": 1424, ""architecture_details"": ""|nor_conv_3x3~0|+|skip_connect~0|skip_connect~1|+|skip_connect~0|skip_connect~1|nor_conv_1x1~2|""}"
50,67.973335,38.36254833201558,1,0.1294428670481529,"{""benchmark_genotype"": [3, 0, 2, 4, 0, 3], ""arch_id"": 1679, ""architecture_details"": ""|nor_conv_3x3~0|+|none~0|nor_conv_1x1~1|+|avg_pool_3x3~0|none~1|nor_conv_3x3~2|""}"
51,70.22,26.020724726623012,2,inf,"{""benchmark_genotype"": [3, 0, 3, 2, 2, 3], ""arch_id"": 6189, ""architecture_details"": ""|nor_conv_3x3~0|+|none~0|nor_conv_3x3~1|+|nor_conv_1x1~0|nor_conv_1x1~1|nor_conv_3x3~2|""}"
52,47.0,73.11225794998931,2,inf,"{""benchmark_genotype"": [0, 3, 0, 4, 1, 0], ""arch_id"": 7920, ""architecture_details"": ""|none~0|+|nor_conv_3x3~0|none~1|+|avg_pool_3x3~0|skip_connect~1|none~2|""}"
